tweet_id,sentiment,value,name,text,tweet_created,sentiment_label
570306133677760513,0.0,1.0,cairdin,@VirginAmerica What @dhepburn said.,2015-02-24 11:35:52 -0800,neutral
570301130888122368,0.0,0.3486,jnardino,@VirginAmerica plus you've added commercials to the experience... tacky.,2015-02-24 11:15:59 -0800,neutral
570301083672813571,-0.390625,0.6837,yvonnalynn,@VirginAmerica I didn't today... Must mean I need to take another trip!,2015-02-24 11:15:48 -0800,negative
570301031407624196,0.0062500000000000056,1.0,jnardino,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",2015-02-24 11:15:36 -0800,positive
570300817074462722,-0.3499999999999999,1.0,jnardino,@VirginAmerica and it's a really big bad thing about it,2015-02-24 11:14:45 -0800,negative
570300767074181121,-0.2083333333333333,1.0,jnardino,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",2015-02-24 11:14:33 -0800,negative
570300616901320704,0.4666666666666666,0.6745,cjmcginnis,"@VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)",2015-02-24 11:13:57 -0800,positive
570300248553349120,0.2,0.634,pilot,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",2015-02-24 11:12:29 -0800,positive
570299953286942721,1.0,0.6559,dhepburn,"@virginamerica Well, I didn't…but NOW I DO! :-D",2015-02-24 11:11:19 -0800,positive
570295459631263746,0.4666666666666666,1.0,YupitsTate,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",2015-02-24 10:53:27 -0800,positive
570294189143031808,0.0,0.6769,idk_but_youtube,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,2015-02-24 10:48:24 -0800,neutral
570289724453216256,0.4125,1.0,HyperCamiLax,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,2015-02-24 10:30:40 -0800,positive
570289584061480960,0.3333333333333333,1.0,HyperCamiLax,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,2015-02-24 10:30:06 -0800,positive
570287408438120448,0.5,0.6451,mollanderson,@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn,2015-02-24 10:21:28 -0800,positive
570285904809598977,0.25,1.0,sjespers,@VirginAmerica Thanks!,2015-02-24 10:15:29 -0800,positive
570282469121007616,0.0,0.6842,smartwatermelon,@VirginAmerica SFO-PDX schedule is still MIA.,2015-02-24 10:01:50 -0800,neutral
570277724385734656,0.35625,1.0,ItzBrianHunty,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,2015-02-24 09:42:59 -0800,positive
570276917301137409,0.047619047619047616,1.0,heatherovieda,@VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!,2015-02-24 09:39:46 -0800,positive
570270684619923457,0.0,1.0,thebrandiray,I ❤️ flying @VirginAmerica. ☺️👍,2015-02-24 09:15:00 -0800,neutral
570267956648792064,0.6,1.0,JNLpierce,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,2015-02-24 09:04:10 -0800,positive
570265883513384960,0.25625,0.6705,MISSGJ,@VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???,2015-02-24 08:55:56 -0800,positive
